image_id,filepath,lat,lon,country,region,city,source,capture_date,quality_score
sample_0060,images/PL/Warsaw/0060.jpg,52.307377,20.972306,PL,Masovian,Warsaw,osv5m,2023-11-28,0.841
sample_0061,images/PL/Warsaw/0061.jpg,52.230039,21.041643,PL,Masovian,Warsaw,mapillary,2023-07-28,0.423
sample_0062,images/PL/Warsaw/0062.jpg,52.196902,21.018309,PL,Masovian,Warsaw,osv5m,2023-06-10,0.892
sample_0063,images/PL/Warsaw/0063.jpg,52.254224,20.986516,PL,Masovian,Warsaw,mapillary,2023-07-11,0.567
sample_0064,images/PL/Warsaw/0064.jpg,52.307781,21.048595,PL,Masovian,Warsaw,osv5m,2023-11-17,0.64
sample_0065,images/PL/Warsaw/0065.jpg,52.291247,21.004876,PL,Masovian,Warsaw,mapillary,2023-02-09,0.507
sample_0066,images/PL/Warsaw/0066.jpg,52.267893,21.003039,PL,Masovian,Warsaw,mapillary,2023-10-14,0.607
sample_0067,images/PL/Warsaw/0067.jpg,52.241849,20.960052,PL,Masovian,Warsaw,mapillary,2023-07-19,0.514
sample_0068,images/PL/Warsaw/0068.jpg,52.281149,21.026932,PL,Masovian,Warsaw,mapillary,2023-06-14,0.442
sample_0069,images/PL/Warsaw/0069.jpg,52.206729,20.973779,PL,Masovian,Warsaw,osv5m,2023-11-28,0.475
sample_0070,images/PL/Warsaw/0070.jpg,52.277828,20.977255,PL,Masovian,Warsaw,osv5m,2023-06-13,0.818
sample_0071,images/PL/Warsaw/0071.jpg,52.198955,21.001259,PL,Masovian,Warsaw,osv5m,2023-11-24,0.942
sample_0072,images/CZ/Prague/0072.jpg,50.043853,14.409717,CZ,Prague,Prague,mapillary,2023-05-10,0.526
sample_0073,images/CZ/Prague/0073.jpg,50.090718,14.371213,CZ,Prague,Prague,osv5m,2023-08-15,0.665
sample_0074,images/CZ/Prague/0074.jpg,50.088299,14.492943,CZ,Prague,Prague,mapillary,2023-11-03,0.57
sample_0075,images/CZ/Prague/0075.jpg,50.039699,14.378247,CZ,Prague,Prague,mapillary,2023-04-22,0.586
sample_0076,images/CZ/Prague/0076.jpg,50.085324,14.411332,CZ,Prague,Prague,mapillary,2023-04-16,0.767
sample_0077,images/CZ/Prague/0077.jpg,50.081889,14.383047,CZ,Prague,Prague,mapillary,2023-12-23,0.63
sample_0078,images/CZ/Prague/0078.jpg,50.052678,14.454458,CZ,Prague,Prague,mapillary,2023-02-25,0.655
sample_0079,images/CZ/Prague/0079.jpg,50.132024,14.550279,CZ,Prague,Prague,osv5m,2023-01-18,0.55
sample_0080,images/CZ/Prague/0080.jpg,50.107484,14.392796,CZ,Prague,Prague,osv5m,2023-11-17,0.993
sample_0081,images/CZ/Prague/0081.jpg,49.974458,14.368712,CZ,Prague,Prague,osv5m,2023-10-27,0.832
sample_0082,images/CZ/Prague/0082.jpg,49.981327,14.434972,CZ,Prague,Prague,osv5m,2023-03-24,0.917
sample_0083,images/CZ/Prague/0083.jpg,49.996105,14.463559,CZ,Prague,Prague,osv5m,2023-09-16,0.776
sample_0084,images/HU/Budapest/0084.jpg,47.494809,19.060042,HU,Central Hungary,Budapest,osv5m,2023-04-09,0.602
sample_0085,images/HU/Budapest/0085.jpg,47.513937,19.027439,HU,Central Hungary,Budapest,mapillary,2023-04-13,0.816
sample_0086,images/HU/Budapest/0086.jpg,47.492973,19.02266,HU,Central Hungary,Budapest,osv5m,2023-06-18,0.68
sample_0087,images/HU/Budapest/0087.jpg,47.585335,19.076266,HU,Central Hungary,Budapest,osv5m,2023-10-23,0.412
sample_0088,images/HU/Budapest/0088.jpg,47.545811,18.995579,HU,Central Hungary,Budapest,osv5m,2023-01-12,0.579
sample_0089,images/HU/Budapest/0089.jpg,47.416685,19.107399,HU,Central Hungary,Budapest,osv5m,2023-09-24,0.841
sample_0090,images/HU/Budapest/0090.jpg,47.530817,18.938607,HU,Central Hungary,Budapest,osv5m,2023-04-09,0.662
sample_0091,images/HU/Budapest/0091.jpg,47.542408,19.048408,HU,Central Hungary,Budapest,osv5m,2023-12-06,0.904
sample_0092,images/HU/Budapest/0092.jpg,47.620837,18.972153,HU,Central Hungary,Budapest,mapillary,2023-07-19,0.739
sample_0093,images/HU/Budapest/0093.jpg,47.568602,19.052357,HU,Central Hungary,Budapest,mapillary,2023-08-06,0.43
sample_0094,images/HU/Budapest/0094.jpg,47.472896,19.063947,HU,Central Hungary,Budapest,osv5m,2023-06-25,0.928
sample_0095,images/HU/Budapest/0095.jpg,47.476197,19.161153,HU,Central Hungary,Budapest,osv5m,2023-05-27,0.449
sample_0096,images/UA/Kyiv/0096.jpg,50.511899,30.530964,UA,Kyiv Oblast,Kyiv,mapillary,2023-06-15,1.0
sample_0097,images/UA/Lviv/0097.jpg,49.797121,24.088336,UA,Lviv Oblast,Lviv,mapillary,2023-06-15,0.891
sample_0098,images/CZ/Prague/0098.jpg,50.027013,14.369493,CZ,Prague,Prague,mapillary,2023-06-15,0.975
sample_0099,images/PL/Warsaw/0099.jpg,52.232874,21.021837,PL,Masovian,Warsaw,mapillary,2023-06-15,0.576
